CHUNK_ID,TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,X,Y,ROW_CHUNK,COL_CHUNK
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329258.2706583317,2778733.318024659,0,0
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329262.3340590158,2778734.604411772,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329261.9087822842,2778741.665209245,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329273.7052812816,2778731.806230764,0,0
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329271.8893983597,2778721.608062159,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329261.752552258,2778726.1908145333,0,0
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329266.030106326,2778718.695503654,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329281.090785079,2778725.7788009434,0,0
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329277.0658491498,2778719.069147934,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329274.013078158,2778721.025004575,0,0
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329275.3189796258,2778719.8926946595,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329293.8672213592,2778725.467784531,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329298.6700585026,2778730.720592653,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329293.8999385152,2778734.79246689,0,0
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329293.1737423055,2778735.033270906,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329265.1161588542,2778727.198550209,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329260.104448725,2778720.9154523485,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329264.411029878,2778728.211162657,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329268.8281325256,2778726.824412359,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329276.8461466955,2778723.7440071236,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329260.048112895,2778726.725580437,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329259.4673718903,2778715.4965527058,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329263.0363172856,2778724.6753700566,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329268.2793657368,2778727.4256163617,0,0
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329255.857918981,2778734.3924206654,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329283.1207538836,2778740.7587874276,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329273.965407484,2778738.8491068403,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329269.0905377204,2778743.141130381,0,0
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329271.5316755797,2778746.5803484228,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329273.2086350482,2778744.230892971,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329280.9047624117,2778741.892606085,0,0
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329266.3339115183,2778738.9106070357,0,0
0_0,1093669,37872,202,1,16.256,10.9728,0.25,-1329479.9772369608,2779314.2798594153,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329482.9297724774,2779318.2874577716,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329478.8058176665,2779321.8215372823,0,0
0_0,1093671,37872,202,1,48.26,21.0312,0.55,-1329473.7783109788,2779316.0016124365,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329501.5711797017,2779296.265928696,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329495.3354075407,2779296.5622447534,0,0
0_0,1093656,37872,202,1,29.21,16.4592,0.55,-1329474.064042264,2779309.159196039,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329482.8050123234,2779323.2541932324,0,0
0_0,1093680,37872,122,1,3.81,3.048,0.5,-1329480.5018456804,2779312.711032886,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329492.2960056346,2779310.070996291,0,0
0_0,1093655,37872,202,1,26.67,12.192,0.55,-1329493.7478686303,2779324.877143715,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329489.126203362,2779312.2464488726,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329499.791329878,2779315.6857682243,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329493.2033561075,2779315.5898074345,0,0
0_0,1093677,37872,122,1,35.814,18.5928,0.7,-1329474.650050967,2779302.8523396906,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329488.1406869048,2779294.573281459,0,0
0_0,1093661,37872,122,1,17.78,8.5344,0.7,-1329486.2630509099,2779299.2640479766,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329485.4312337951,2779315.8262404962,0,0
0_0,1093680,37872,122,1,3.81,3.048,0.5,-1329481.3984432933,2779320.070565533,0,0
0_0,1093663,37872,122,1,31.496,12.192,0.45,-1329482.1198041143,2779318.5740781706,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329485.2995655565,2779316.2422858872,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329474.8376430748,2779309.577129344,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329481.5706537715,2779309.0640517618,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329476.918950165,2779314.703208884,0,0
0_0,1093662,37872,122,1,21.082,9.144,0.5,-1329496.6777535225,2779325.31895306,0,0
0_0,1093667,37872,202,1,13.716,7.62,0.7,-1329497.7458399038,2779314.19085404,0,0
0_0,1093656,37872,202,1,29.21,16.4592,0.55,-1329490.6256453863,2779323.5144242216,0,0
0_0,1093661,37872,122,1,17.78,8.5344,0.7,-1329491.612043562,2779321.44624116,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329485.5803476684,2779323.989160342,0,0
0_0,1093666,37872,122,1,15.494,6.7056,0.35,-1329498.0895106096,2779315.092067429,0,0
0_0,1093657,37872,122,1,30.988,16.154400000000003,0.7,-1329492.2177404983,2779313.837834132,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329499.3928130062,2779320.377362091,0,0
0_0,1093680,37872,122,1,3.81,3.048,0.5,-1329491.929788552,2779319.4101701025,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329489.8046255393,2779313.776849725,0,0
0_0,1093663,37872,122,1,31.496,12.192,0.45,-1329490.4614104386,2779314.3217087826,0,0
0_0,1093676,37872,66,1,11.176000000000002,2.4384,0.2,-1329482.0450015236,2779309.42415982,0,0
0_0,1093670,37872,202,1,16.51,10.0584,0.4,-1329476.011936912,2779308.4500197535,0,0
0_0,1093663,37872,122,1,31.496,12.192,0.45,-1329492.9521150757,2779298.8097137827,0,0
0_0,1093679,37872,122,1,4.826,3.6576,0.65,-1329490.186133317,2779296.788149202,0,0
0_0,1093662,37872,122,1,21.082,9.144,0.5,-1329503.1947317997,2779307.5113020362,0,0
