CHUNK_ID,TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,X,Y,ROW_CHUNK,COL_CHUNK
0_0,1044392,37754,122,1,16.002,6.7056000000000004,0.9,312030.6982425468,5196608.365026504,0,0
0_0,1044390,37754,122,1,38.862,14.325600000000001,0.9,312026.50457791623,5196609.021525901,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.325600000000001,0.9,312025.85799159575,5196616.0951513825,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,312015.7340246117,5196604.507851345,0,0
0_0,1044390,37754,122,1,38.862,14.325600000000001,0.9,312019.05988283345,5196594.662186159,0,0
0_0,1044395,37754,122,1,18.541999999999998,12.4968,0.75,312028.3462235259,5196600.758799653,0,0
0_0,1044392,37754,122,1,16.002,6.7056000000000004,0.9,312025.26656739827,5196592.66570997,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.325600000000001,0.9,312009.3737689933,5196597.397293825,0,0
0_0,1044392,37754,122,1,16.002,6.7056000000000004,0.9,312014.3477228103,5196591.351675808,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,312017.05750536616,5196593.759191118,0,0
0_0,1044392,37754,122,1,16.002,6.7056000000000004,0.9,312015.94292633975,5196592.435854266,0,0
0_0,1044395,37754,122,1,18.541999999999998,12.4968,0.75,311996.8448471604,5196595.137890689,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.325600000000001,0.9,311991.3249860155,5196599.618649591,0,0
0_0,1044395,37754,122,1,18.541999999999998,12.4968,0.75,311995.4059369726,5196604.388768153,0,0
0_0,1044392,37754,122,1,16.002,6.7056000000000004,0.9,311996.08440421283,5196604.738669346,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.325600000000001,0.9,312024.88340182224,5196601.245547562,0,0
0_0,1044395,37754,122,1,18.541999999999998,12.4968,0.75,312030.76428862615,5196595.773998093,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312025.42469780345,5196602.358345631,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312021.2861509168,5196600.307431594,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312013.85873125406,5196596.025580065,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312029.9432274141,5196601.549850995,0,0
0_0,1044391,37754,122,1,33.782000000000004,14.325600000000001,0.9,312032.2088555569,5196590.492356934,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312027.31123349105,5196599.058534826,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,312021.73560457106,5196600.987983964,0,0
0_0,1044390,37754,122,1,38.862,14.325600000000001,0.9,312032.91101671354,5196609.799868556,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,312005.1158112115,5196611.956807313,0,0
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,312014.4155023623,5196611.459040934,0,0
0_0,1044394,37754,122,1,35.56,15.24,0.85,312018.5663420337,5196616.463681134,0,0
